Nb_FPGA,Module,REG%,REG,LUT%,LUT,RAMLUT%,RAMLUT,LUT6%,LUT6,MUXCY%,MUXCY,BRAM%,BRAM,URAM%,URAM,DSP%,DSP,IOs,Path
1,fx_top,100%,351707,100%,441264,100%,20065,100%,95827,100%,8,100%,152,100%,98,100%,2,2312,fx_top
1,set_top__design_73,90%,315635,84%,367619,49%,9715,54%,51547,100%,8,62%,94,100%,98,100%,2,1077304,fx_top.design
1,U0_M0_F1,87%,305254,82%,359489,49%,9651,52%,49582,100%,8,44%,66,100%,98,100%,2,98429,fx_top.design.U0_M0_F1
1,U0_M0_F1_core,86%,301433,81%,355590,48%,9555,51%,48304,100%,8,44%,66,100%,98,100%,2,99994,fx_top.design.U0_M0_F1.U0_M0_F1_core
1,core_sys,71%,247683,66%,288920,38%,7615,38%,36105,100%,8,37%,56,100%,98, 0%,0,112829,fx_top.design.U0_M0_F1.U0_M0_F1_core.core_chip_dut.icore_sys
1,core_chip,71%,247685,66%,288920,38%,7615,38%,36105,100%,8,37%,56,100%,98, 0%,0,112831,fx_top.design.U0_M0_F1.U0_M0_F1_core.core_chip_dut
1,archipelago,29%,100455,24%,101492, 0%,0, 2%,1749,63%,5, 1%,1,100%,98, 0%,0,35276,fx_top.design.U0_M0_F1.U0_M0_F1_core.core_chip_dut.icore_sys.iarchipelago
1,rl_srams,24%,82441,22%,94146, 0%,0, 2%,1440,63%,5, 1%,1,100%,98, 0%,0,1060,fx_top.design.U0_M0_F1.U0_M0_F1_core.core_chip_dut.icore_sys.iarchipelago.iesrams_rl_srams
1,wc_ip_top_withqiwc_32_zpt_wrapper_0,11%,36072,17%,73645,52%,10350,47%,44280, 0%,0,39%,58, 0%,0, 0%,0,1064178,fx_top.wc_ip_top.wrapper
1,wc_ip_top,11%,36072,17%,73645,52%,10350,47%,44280, 0%,0,39%,58, 0%,0, 0%,0,1063986,fx_top.wc_ip_top
