Nb_FPGA,Module,LUT,LUT%,LUT6,LUT6%,RAM,RAM%,URAM,URAM%,REG,REG%,RAMLUT,RAMLUT%,FWC_IP_BITS,FWC_IP_BITS%,QIWC_IP_BITS,QIWC_IP_BITS%,ZCEI_MESSAGE_INPUT,ZCEI_MESSAGE_INPUT%,ZCEI_MESSAGE_OUTPUT,ZCEI_MESSAGE_OUTPUT%,ZRM_SLOTS,ZRM_SLOTS%,ZRM_PORTS,ZRM_PORTS%,IOs,Path
1,zebu_top,314608, 8%,86064, 3%,48, 3%,98,31%,236647, 3%,19888, 4%,833, 1%,94817,10%,82,17%,57,12%,32768,25%,1,13%,0,zebu_top
1,core_chip,260713, 7%,82220, 3%,47, 3%,98,31%,180055, 3%,5736, 1%,828, 1%,91162, 9%,45, 9%,24, 5%,32768,25%,1,13%,51,zebu_top.core_chip_dut
1,core_sys,260710, 7%,82219, 3%,47, 3%,98,31%,180052, 3%,5736, 1%,827, 1%,91161, 9%,45, 9%,24, 5%,32768,25%,1,13%,53,zebu_top.core_chip_dut.icore_sys
1,archipelago,131264, 4%,31075, 1%,5, 1%,98,31%,77534, 1%,0, 0%,448, 1%,18863, 2%,0, 0%,0, 0%,0, 0%,0, 0%,787,zebu_top.core_chip_dut.icore_sys.iarchipelago
1,alb_mss_fab,88367, 3%,36892, 1%,11, 1%,0, 0%,61995, 1%,0, 0%,377, 1%,57586, 6%,0, 0%,0, 0%,0, 0%,0, 0%,2569,zebu_top.core_chip_dut.icore_sys.ialb_mss_fab
1,alb_mss_bus_switch,74421, 2%,30453, 1%,9, 1%,0, 0%,51403, 1%,0, 0%,0, 0%,48040, 5%,0, 0%,0, 0%,0, 0%,0, 0%,2476,zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst
1,cpu_top_safety_controller,65387, 2%,28204, 1%,3, 1%,0, 0%,17770, 1%,0, 0%,328, 1%,16272, 2%,0, 0%,0, 0%,0, 0%,0, 0%,1470,zebu_top.core_chip_dut.icore_sys.iarchipelago.icpu_top_safety_controller
1,rl_srams,62508, 2%,1699, 1%,2, 1%,98,31%,57700, 1%,0, 0%,0, 0%,777, 1%,0, 0%,0, 0%,0, 0%,0, 0%,620,zebu_top.core_chip_dut.icore_sys.iarchipelago.iesrams_rl_srams
1,zebu_axi_xtor,24478, 1%,6900, 1%,25, 2%,0, 0%,30809, 1%,5736, 1%,0, 0%,5396, 1%,45, 9%,24, 5%,0, 0%,0, 0%,1229,zebu_top.core_chip_dut.icore_sys.izebu_axi_xtor
1,xtor_amba_master_axi3_svs,24478, 1%,6900, 1%,25, 2%,0, 0%,30808, 1%,5736, 1%,0, 0%,5395, 1%,45, 9%,24, 5%,0, 0%,0, 0%,1231,zebu_top.core_chip_dut.icore_sys.izebu_axi_xtor.master_node_i
1,rl_cpu_top,32240, 1%,13917, 1%,2, 1%,0, 0%,8976, 1%,0, 0%,325, 1%,8127, 1%,0, 0%,0, 0%,0, 0%,0, 0%,1551,zebu_top.core_chip_dut.icore_sys.iarchipelago.icpu_top_safety_controller.u_main_rl_cpu_top
1,rl_cpu_top,31801, 1%,13838, 1%,2, 1%,0, 0%,8609, 1%,0, 0%,0, 0%,7984, 1%,0, 0%,0, 0%,0, 0%,0, 0%,1237,zebu_top.core_chip_dut.icore_sys.iarchipelago.icpu_top_safety_controller.u_shadow_rl_cpu_top
1,rl_core,29196, 1%,12866, 1%,2, 1%,0, 0%,8233, 1%,0, 0%,320, 1%,7439, 1%,0, 0%,0, 0%,0, 0%,0, 0%,1944,zebu_top.core_chip_dut.icore_sys.iarchipelago.icpu_top_safety_controller.u_main_rl_cpu_top.u_rl_core
1,rl_core,28761, 1%,12786, 1%,2, 1%,0, 0%,7871, 1%,0, 0%,0, 0%,7296, 1%,0, 0%,0, 0%,0, 0%,0, 0%,1634,zebu_top.core_chip_dut.icore_sys.iarchipelago.icpu_top_safety_controller.u_shadow_rl_cpu_top.u_rl_core
1,alb_mss_mem,7690, 1%,4983, 1%,6, 1%,0, 0%,4629, 1%,0, 0%,0, 0%,4571, 1%,0, 0%,0, 0%,32768,25%,1,13%,374,zebu_top.core_chip_dut.icore_sys.ialb_mss_mem
1,mss_bus_switch_ibp_dw128_mst,17183, 1%,5740, 1%,3, 1%,0, 0%,12034, 1%,0, 0%,0, 0%,11246, 2%,0, 0%,0, 0%,0, 0%,0, 0%,1863,zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst.u_mss_bs_mst_5
1,iccm0_ram,20273, 1%,532, 1%,1, 1%,32,10%,18578, 1%,0, 0%,0, 0%,155, 1%,0, 0%,0, 0%,0, 0%,0, 0%,124,zebu_top.core_chip_dut.icore_sys.iarchipelago.iesrams_rl_srams.u_iccm0_even
1,dccm_ram,20273, 1%,532, 1%,1, 1%,32,10%,18578, 1%,0, 0%,0, 0%,155, 1%,0, 0%,0, 0%,0, 0%,0, 0%,124,zebu_top.core_chip_dut.icore_sys.iarchipelago.iesrams_rl_srams.u_dccm_odd
1,dccm_ram,20273, 1%,532, 1%,1, 1%,32,10%,18578, 1%,0, 0%,0, 0%,155, 1%,0, 0%,0, 0%,0, 0%,0, 0%,124,zebu_top.core_chip_dut.icore_sys.iarchipelago.iesrams_rl_srams.u_dccm_even
