






                                    ZeBu (R)
                                      zPar

            Version S-2021.09-T-20240508 for linux64 - May 08, 2024 

                    Copyright (c) 2002 - 2024 Synopsys, Inc.
   This software and the associated documentation are proprietary to Synopsys,
 Inc. This software may only be used in accordance with the terms and conditions
 of a written license agreement with Synopsys, Inc. All other use, reproduction,
   or distribution of this software is strictly prohibited.  Licensed Products
     communicate with Synopsys servers for the purpose of providing software
    updates, detecting software piracy and verifying that customers are using
    Licensed Products in conformity with the applicable License Key for such
  Licensed Products. Synopsys will use information gathered in connection with
    this process to deliver software updates and pursue software pirates and
                                   infringers.

 Inclusivity & Diversity - Visit SolvNetPlus to read the "Synopsys Statement on
            Inclusivity and Diversity" (Refer to article 000036315 at
                        https://solvnetplus.synopsys.com)

# zPar zPar_zCui.tcl 

# start time is Tue May 13 18:37:31 2025




# Build Date : May  7 2024 - 21:36:47
# ---------------------------System Context--------------------------- 
# Cpu        32 x bogomips - 4499.99 AMD EPYC 9754 128-Core Processor
#            Load: 6.36 6.15 7.01 6/811 4058667
#            Hostname: zebutrain-4761-004   OS: Linux 4.18.0-425.3.1.el8.x86_64
# Memory     Total: 261706 MB Free: 201142 MB
#            Swap space: 53247 MB Free Swap space: 51534 MB
#            VmSize: 294 MB VmPeak: 294 MB
# Disk Space Total: 5000 GB Available: 554 GB Used: 4446 GB
#            Free inodes: 11763120
# Stack                                Soft Limit           Hard Limit  
#            Max stack size            unlimited            unlimited            bytes     
# -------------------------------------------------------------------- 





Table of content:
-----------------


 1.Detailed_execution time and Memory Footprint
 2.KTIM_WARNING_SECTION
 3.KTIM_ECHO_SECTION
 4.KPR_WARNING_SECTION
 5.KPR_ECHO_SECTION
 6.KPR_FALSEPATH_SECTION
 7.KPR_LOGCOMMAND_SECTION
 8.ZAP_WARNING_SECTION


======================================================================================================





 1.Detailed_execution time and Memory Footprint
 ==============================================


  Cpu performance: 98.19%

  Cpu performance displays the performance of the CPU on which zTopBuild is started compared to a reference machin.
  A positive number will indicate a CPU faster than our reference one.

  
# ---------------------------System Context--------------------------- 
# Cpu        32 x bogomips - 4499.99 AMD EPYC 9754 128-Core Processor
#            Load: 6.36 6.15 7.01 6/811 4058667
#            Hostname: zebutrain-4761-004   OS: Linux 4.18.0-425.3.1.el8.x86_64
# Memory     Total: 261706 MB Free: 201434 MB
#            Swap space: 53247 MB Free Swap space: 51534 MB
#            VmSize: 382 MB VmPeak: 382 MB
# Disk Space Total: 5000 GB Available: 554 GB Used: 4446 GB
#            Free inodes: 11763117
# Stack                                Soft Limit           Hard Limit  
#            Max stack size            unlimited            unlimited            bytes     
# -------------------------------------------------------------------- 


  In the section below, 
    load : 1 minute load average
    fm   : FreeMemory
    vm   : VirtualMemory
    um   : UsedMemory


Reset time counter
   3    elapsed:0.13 s    user:0.9 s      system:0 s      %cpu:72.18       load:6.36       fm:201451 m      vm:634 m      vm:+41 m      um:207 m      um:+28 m zPar/Merge/loadDB
   4       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201448 m      vm:634 m       vm:+0 m      um:207 m       um:+0 m zPar/Merge/flatten
   5       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201448 m      vm:634 m       vm:+0 m      um:207 m       um:+0 m zPar/Merge/unFlatten
   6       elapsed:0 s    user:0.1 s      system:0 s     %cpu:152.38       load:6.36       fm:201431 m      vm:634 m       vm:+0 m      um:214 m       um:+3 m zPar/Merge/mergeMezz
   6    elapsed:0.20 s   user:0.10 s    system:0.1 s      %cpu:56.41       load:6.36       fm:201428 m      vm:634 m      vm:+41 m      um:214 m      um:+35 m zPar/Merge
   8       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201331 m      vm:646 m       vm:+0 m      um:236 m       um:+0 m zPar/Place/computeAndSetNumberOfDesignModule
   9       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201331 m      vm:646 m       vm:+0 m      um:236 m       um:+0 m zPar/Place/createNoXdrPatterns
  10       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201331 m      vm:646 m       vm:+0 m      um:236 m       um:+0 m zPar/Place/initPlace_false
  12       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201331 m      vm:646 m       vm:+0 m      um:236 m       um:+0 m zPar/Place/buildDatabaseForPlaceAndRoute/design_netlistHubs2Matrix
  14       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201355 m      vm:646 m       vm:+0 m      um:237 m       um:+0 m zPar/Place/buildDatabaseForPlaceAndRoute/timing_evaluator_init/createTimingGraphAtTop
  15    elapsed:0.10 s    user:0.7 s      system:0 s      %cpu:74.67       load:6.36       fm:201321 m      vm:673 m      vm:+27 m      um:265 m      um:+28 m zPar/Place/buildDatabaseForPlaceAndRoute/timing_evaluator_init/kpr_sourceTimingAnalysisEvaluationParam
  16     elapsed:0.2 s    user:0.1 s      system:0 s      %cpu:48.48       load:6.36       fm:201307 m      vm:931 m     vm:+258 m      um:275 m      um:+10 m zPar/Place/buildDatabaseForPlaceAndRoute/timing_evaluator_init/Loading_Equi2Master
  17     elapsed:0.1 s    user:0.1 s    system:0.1 s     %cpu:160.00       load:6.36       fm:201305 m      vm:935 m       vm:+4 m      um:277 m       um:+1 m zPar/Place/buildDatabaseForPlaceAndRoute/timing_evaluator_init/importZrefInfo
  18     elapsed:0.3 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201286 m      vm:950 m      vm:+15 m      um:277 m       um:+0 m zPar/Place/buildDatabaseForPlaceAndRoute/timing_evaluator_init/IMPORT
