,U0/M0/F00,U0/M0/F01,U0/M0/F02,U0/M0/F03,U0/M0/F04,U0/M0/F05,U0/M0/F06,U0/M0/F07,U0/M0/F08,U0/M0/F09,U0/M0/F10,U0/M0/F11,
U0/M0/F00,,20,20,12,4,4,12,4,4,12,4,4,
U0/M0/F01,20,,20,4,16,4,4,16,4,4,16,4,
U0/M0/F02,20,20,,4,4,18,4,4,18,4,4,18,
U0/M0/F03,12,4,4,,20,20,12,4,4,12,4,4,
U0/M0/F04,4,16,4,20,,20,4,16,4,4,16,4,
U0/M0/F05,4,4,18,20,20,,4,4,18,4,4,18,
U0/M0/F06,12,4,4,12,4,4,,20,20,12,4,4,
U0/M0/F07,4,16,4,4,16,4,20,,20,4,16,4,
U0/M0/F08,4,4,18,4,4,18,20,20,,4,4,18,
U0/M0/F09,12,4,4,12,4,4,12,4,4,,20,20,
U0/M0/F10,4,16,4,4,16,4,4,16,4,20,,20,
U0/M0/F11,4,4,18,4,4,18,4,4,18,20,20,,
