,U0/M0/F00,U0/M0/F01,U0/M0/F02,U0/M0/F03,U0/M0/F04,U0/M0/F05,U0/M0/F06,U0/M0/F07,U0/M0/F08,U0/M0/F09,U0/M0/F10,U0/M0/F11,
U0/M0/F00,,100,100,60,20,20,60,19,20,60,20,20,
U0/M0/F01,100,,100,20,80,20,19,80,20,20,80,20,
U0/M0/F02,100,100,,20,20,90,20,20,90,20,20,90,
U0/M0/F03,60,20,20,,100,100,60,20,20,60,19,20,
U0/M0/F04,20,80,20,100,,100,20,80,20,19,80,20,
U0/M0/F05,20,20,90,100,100,,20,20,90,20,20,90,
U0/M0/F06,60,19,20,60,20,20,,100,100,60,20,20,
U0/M0/F07,19,80,20,20,80,20,100,,100,20,80,20,
U0/M0/F08,20,20,90,20,20,90,100,100,,20,20,90,
U0/M0/F09,60,20,20,60,19,20,60,20,20,,100,100,
U0/M0/F10,20,80,20,19,80,20,20,80,20,100,,100,
U0/M0/F11,20,20,90,20,20,90,20,20,90,100,100,,
