Nb_FPGA,Module,REG%,REG,LUT%,LUT,RAMLUT%,RAMLUT,LUT6%,LUT6,MUXCY%,MUXCY,BRAM%,BRAM,URAM%,URAM,DSP%,DSP,IOs,Path
1,fx_top,100%,550105,100%,625971,100%,40661,100%,113033,100%,18,100%,213,100%,98,100%,2,2312,fx_top
1,set_top__design_73,93%,509528,87%,539737,74%,29947,51%,57542,100%,18,70%,147,100%,98,100%,2,1077304,fx_top.design
1,U0_M0_F1,91%,499147,85%,531511,74%,29883,50%,55449,100%,18,56%,119,100%,98,100%,2,121145,fx_top.design.U0_M0_F1
1,U0_M0_F1_core,90%,493543,85%,527601,74%,29787,48%,54160,100%,18,56%,119,100%,98,100%,2,124553,fx_top.design.U0_M0_F1.U0_M0_F1_core
1,core_sys,71%,388781,66%,408726,69%,27847,37%,40903,100%,18,52%,109,100%,98, 0%,0,216669,fx_top.design.U0_M0_F1.U0_M0_F1_core.core_chip_dut.icore_sys
1,core_chip,71%,388783,66%,408726,69%,27847,37%,40903,100%,18,52%,109,100%,98, 0%,0,216671,fx_top.design.U0_M0_F1.U0_M0_F1_core.core_chip_dut
1,xtor_amba_slave_axi3_svs,23%,121982,17%,101037,50%,20232, 1%,966,56%,10,25%,53, 0%,0, 0%,0,85349,fx_top.design.U0_M0_F1.U0_M0_F1_core.core_chip_dut.icore_sys.ialb_mss_dummy_slave.i2_axi_slave.slave_xtor
1,axi_dummy_slave,23%,121984,17%,101037,50%,20232, 1%,966,56%,10,25%,53, 0%,0, 0%,0,85348,fx_top.design.U0_M0_F1.U0_M0_F1_core.core_chip_dut.icore_sys.ialb_mss_dummy_slave.i2_axi_slave
1,alb_mss_dummy_slave,23%,121984,17%,101037,50%,20232, 1%,966,56%,10,25%,53, 0%,0, 0%,0,85348,fx_top.design.U0_M0_F1.U0_M0_F1_core.core_chip_dut.icore_sys.ialb_mss_dummy_slave
1,archipelago,19%,100455,17%,101818, 0%,0, 2%,1749,28%,5, 1%,1,100%,98, 0%,0,35419,fx_top.design.U0_M0_F1.U0_M0_F1_core.core_chip_dut.icore_sys.iarchipelago
1,rl_srams,15%,82441,16%,94146, 0%,0, 2%,1440,28%,5, 1%,1,100%,98, 0%,0,1060,fx_top.design.U0_M0_F1.U0_M0_F1_core.core_chip_dut.icore_sys.iarchipelago.iesrams_rl_srams
1,zz_Encrypt_5,16%,84182,14%,81609,45%,17952, 1%,461,50%,9,24%,49, 0%,0, 0%,0,73270,fx_top.design.U0_M0_F1.U0_M0_F1_core.core_chip_dut.icore_sys.ialb_mss_dummy_slave.i2_axi_slave.slave_xtor.sqnod12755
1,wc_ip_top_withqiwc_32_zpt_wrapper_0, 8%,40577,14%,86234,27%,10714,50%,55491, 0%,0,31%,66, 0%,0, 0%,0,1064178,fx_top.wc_ip_top.wrapper
1,wc_ip_top, 8%,40577,14%,86234,27%,10714,50%,55491, 0%,0,31%,66, 0%,0, 0%,0,1063986,fx_top.wc_ip_top
1,zcahsrash, 2%,7541, 4%,19929, 0%,0, 4%,4380, 0%,0, 5%,10, 0%,0,100%,2,16631,fx_top.design.U0_M0_F1.U0_M0_F1_core.zcahsrash
1,rash_zpt_wrapper_0, 1%,4768, 2%,8463, 0%,0, 1%,8, 0%,0, 1%,2, 0%,0,100%,2,1586,fx_top.design.U0_M0_F1.U0_M0_F1_core.zcahsrash.zins_rash.wrapper
1,rash, 1%,4768, 2%,8463, 0%,0, 1%,8, 0%,0, 1%,2, 0%,0,100%,2,1426,fx_top.design.U0_M0_F1.U0_M0_F1_core.zcahsrash.zins_rash
1,rash_downstream_sib_8b7a7be2, 1%,1405, 1%,1236, 0%,0, 1%,1, 0%,0, 1%,2, 0%,0,100%,2,681,fx_top.design.U0_M0_F1.U0_M0_F1_core.zcahsrash.zins_rash.wrapper.rash_downstream_sib_0
1,rash_downstream_sib_decoder_e800465e, 1%,553, 1%,10, 0%,0, 0%,0, 0%,0, 1%,2, 0%,0,100%,2,588,fx_top.design.U0_M0_F1.U0_M0_F1_core.zcahsrash.zins_rash.wrapper.rash_downstream_sib_0.rash_downstream_sib_decoder_0
1,rash_downstream_sib_decoder_div_40c...(1)*, 1%,5, 0%,0, 0%,0, 0%,0, 0%,0, 1%,1, 0%,0,100%,2,31,fx_top.design.U0_M0_F1.U0_M0_F1_core.zcahsrash.zins_rash.wrapper.rash_downstream_sib_0.rash_downstream_sib_decoder_0.rash_downstream_sib_decoder_div_0
1,qiwc_ip_cluster, 4%,18144, 9%,50548, 4%,1456,40%,45018, 0%,0,20%,41, 0%,0, 0%,0,1050224,fx_top.wc_ip_top.wrapper.qiwc_ip_cluster
1,zebu_axi_xtor,11%,56324, 7%,39844,12%,4800, 1%,1118,17%,3,12%,24, 0%,0, 0%,0,26568,fx_top.design.U0_M0_F1.U0_M0_F1_core.core_chip_dut.icore_sys.izebu_axi_xtor
1,xtor_amba_master_axi3_svs,11%,56322, 7%,39844,12%,4800, 1%,1118,17%,3,12%,24, 0%,0, 0%,0,26569,fx_top.design.U0_M0_F1.U0_M0_F1_core.core_chip_dut.icore_sys.izebu_axi_xtor.master_node_i
1,reserved_scope_fpga_sram_0002_ZMEM_...(2)*, 5%,26746, 5%,30693, 0%,0, 1%,480, 6%,1, 0%,0,33%,32, 0%,0,220,fx_top.design.U0_M0_F1.U0_M0_F1_core.core_chip_dut.icore_sys.iarchipelago.iesrams_rl_srams.u_iccm0_even.u_iccm0_sram.mem_r
1,reserved_scope_fpga_sram_0002_0000_...(3)*, 5%,26746, 5%,30693, 0%,0, 1%,480, 6%,1, 0%,0,33%,32, 0%,0,220,fx_top.design.U0_M0_F1.U0_M0_F1_core.core_chip_dut.icore_sys.iarchipelago.iesrams_rl_srams.u_dccm_even.u_DCCM_sram.mem_r
1,reserved_scope_fpga_sram_0002_0000_...(4)*, 5%,26746, 5%,30693, 0%,0, 1%,480, 6%,1, 0%,0,33%,32, 0%,0,220,fx_top.design.U0_M0_F1.U0_M0_F1_core.core_chip_dut.icore_sys.iarchipelago.iesrams_rl_srams.u_dccm_odd.u_DCCM_sram.mem_r
1,iccm0_ram, 5%,26763, 5%,30693, 0%,0, 1%,480, 6%,1, 0%,0,33%,32, 0%,0,238,fx_top.design.U0_M0_F1.U0_M0_F1_core.core_chip_dut.icore_sys.iarchipelago.iesrams_rl_srams.u_iccm0_even
1,fpga_sram_0002_0000_0, 5%,26763, 5%,30693, 0%,0, 1%,480, 6%,1, 0%,0,33%,32, 0%,0,238,fx_top.design.U0_M0_F1.U0_M0_F1_core.core_chip_dut.icore_sys.iarchipelago.iesrams_rl_srams.u_dccm_even.u_DCCM_sram
