Nb_Inst.,ALL_REG,ALL_LUT,ALL_BRAM,ALL_URAM,ALL_DSP,ALL_RAMLUT,ALL_LUT6,Module,REG,LUT,BRAM,URAM,DSP,RAMLUT,LUT6,HLUT,HLUT(raw),HREG,Nb_IOs
3,1701,6756,3,0,0,0,2766,mss_bus_switch_ibpw2ibpn_0000,567,2252,1,0,0,0,922,5003,3672,3995,1166
3,0,1560,0,0,0,0,0,mss_bus_switch_ibp2ibps,0,520,0,0,0,0,0,1901,1538,1103,1156
3,0,6,0,0,0,0,0,mss_bus_switch_ibp_dw32_mst,0,2,0,0,0,0,0,8807,6705,6370,1533
3,0,0,0,0,0,0,0,mss_bus_switch_ibpx2ibpy_0001,0,0,0,0,0,0,0,5003,3672,3995,1166
2,1100,4482,2,0,0,0,1814,mss_bus_switch_ibpw2ibpn_0000,550,2241,1,0,0,0,907,4992,3670,3979,1165
2,37156,40534,2,64,0,0,1064,fpga_sram_0002_0000,18578,20267,1,32,0,0,532,20267,3443,18578,123
2,0,12,0,0,0,0,0,dccm_ram,0,6,0,0,0,0,0,20273,3449,18578,124
2,0,0,0,0,0,0,0,mss_bus_switch_ibpx2ibpy_0001,0,0,0,0,0,0,0,4992,3670,3979,1165
1,0,521,0,0,0,0,0,mss_bus_switch_ibp2ibps,0,521,0,0,0,0,0,1893,1530,1103,1148
1,2,1,1,0,0,0,1,axi_dummy_slave,2,1,1,0,0,0,1,40104,27456,97274,263
1,0,6,0,0,0,0,0,iccm0_ram,0,6,0,0,0,0,0,20273,3449,18578,124
1,0,0,0,0,0,0,0,core_sys,0,0,0,0,0,0,0,327665,214556,297770,53
1,0,0,0,0,0,0,0,alb_mss_dummy_slave,0,0,0,0,0,0,0,40104,27456,97274,263
1,0,0,0,0,0,0,0,mss_bus_switch_ibpx2ibpy_0001_0000,0,0,0,0,0,0,0,3592,2643,2847,1201
1,4,4,1,0,0,0,1,rl_cpu_top,4,4,1,0,0,0,1,32202,29162,8976,1551
1,3,3,1,0,0,0,1,rl_cpu_top,3,3,1,0,0,0,1,31763,29016,8609,1237
1,2,1,1,0,0,0,1,zebu_axi_xtor,2,1,1,0,0,0,1,24429,11989,30809,1229
1,3,10,1,0,0,0,2,rl_exu,3,10,1,0,0,0,2,8766,7786,2914,1857
1,0,520,0,0,0,0,0,mss_bus_switch_ibp2ibps,0,520,0,0,0,0,0,1912,1549,1103,1166
1,0,0,0,0,0,0,0,mss_bus_switch_ibpx2ibpy_0001_0001,0,0,0,0,0,0,0,2301,1564,2210,1272
1,0,0,0,0,0,0,0,rl_srams,0,0,0,0,0,0,0,62505,10916,57700,620
1,0,2,0,0,0,0,0,mss_bus_switch_ibp_dw128_mst,0,2,0,0,0,0,0,17134,13257,12034,1863
1,0,2,0,0,0,0,0,mss_bus_switch_ibp_dw64_mst,0,2,0,0,0,0,0,15661,11992,11330,1708
1,0,1,0,0,0,0,0,mss_bus_switch_ibp_dw32_mst,0,1,0,0,0,0,0,8764,6671,6354,1473
1,0,0,0,0,0,0,0,core_chip,0,0,0,0,0,0,0,327667,214561,297773,51
1,0,0,0,0,0,0,0,archipelago,0,0,0,0,0,0,0,131177,73025,77534,788
1,0,521,0,0,0,0,0,mss_bus_switch_ibp2ibps,0,521,0,0,0,0,0,1905,1542,1103,1160
1,0,1,0,0,0,0,0,mss_bus_switch_ibp_dw32_mst,0,1,0,0,0,0,0,8761,6668,6354,1469
1,0,521,0,0,0,0,0,mss_bus_switch_ibp2ibps,0,521,0,0,0,0,0,1894,1531,1103,1149
1,2,115,0,0,0,0,47,cpu_top_safety_controller,2,115,0,0,0,0,47,65312,59493,17770,1470
1,13000,11579,1,0,0,2104,2423,xtor_amba_master_axi3_svs,13000,11579,1,0,0,2104,2423,24429,11989,30808,1231
