Hierarchy Properties
Path,Module,LUT,LUT6,RAM,URAM,REG,DSP,RAMLUT,FWC_IP_NUM,FWC_IP_BITS,QIWC_IP_BITS,READ_PORT_IPS,READ_PORT_BITS,WRITE_PORT_IPS,WRITE_PORT_BITS,ZC_TRACE_BIT,ZCEI_MESSAGE_INPUT,ZCEI_MESSAGE_OUTPUT,FW_RESOURCES,ZPRD_BB,ZFORCE,ZVIEW,ZRM_SLOTS,ZRM_PORTS,Nb_connected_IOs,Wire_density
FPGA Size,-,1225728,817152,1263,128,1797734,2302,161200,0,114278,629145,0,0,0,0,0,486,486,0,0,0,0,131072,8,0,0.0000
Filling Rates,-,30,20,58,40,21,59,25,0,29,59,0,0,0,0,0,94,94,0,0,0,0,100,100,0,0.0000
Bin Size,-,14708736,9805824,15156,1536,21572808,27624,1934400,0,1371336,7549740,0,0,0,0,0,5832,5832,0,0,0,0,655360,96,0,0.0000
Max Block Size,-,14708736,9805824,15156,1536,21572808,27624,1934400,0,1371336,7549740,0,0,0,0,0,5832,5832,0,0,0,0,655360,96,20000,0.2500
Min Block Size,-,1470873,980582,1515,153,2157280,2762,193440,0,137133,754974,0,0,0,0,0,583,583,0,0,0,0,655360,96,5000,0.7500
zebu_top,zebu_top,381453,109130,105,98,354365,0,46176,0,834,116860,0,0,0,0,0,237,78,0,0,0,0,32768,1,0,1.0000
zebu_top.core_chip_dut,core_chip,327667,105285,104,98,297773,0,32024,0,829,113205,0,0,0,0,0,200,45,0,0,0,0,32768,1,51,0.0984
zebu_top.zebu_time_capture.zebu_sendtime_portbuffer,zemi3OutPortBuffer_169_4096_24,366,2,0,0,4091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4119,0.4130
zebu_top.core_chip_dut.icore_sys,core_sys,327665,105285,104,98,297770,0,32024,0,828,113204,0,0,0,0,0,200,45,0,0,0,0,32768,1,53,0.9848
zebu_top.core_chip_dut.icore_sys.iarchipelago,archipelago,131177,31076,5,98,77534,0,0,0,448,18863,0,0,0,0,0,0,0,0,0,0,0,0,0,788,0.6997
zebu_top.core_chip_dut.icore_sys.izebu_axi_xtor,zebu_axi_xtor,24429,6900,25,0,30809,0,5736,0,0,5396,0,0,0,0,0,45,24,0,0,0,0,0,0,1229,0.0049
zebu_top.core_chip_dut.icore_sys.ialb_mss_mem,alb_mss_mem,7679,4983,6,0,4629,0,0,0,0,4571,0,0,0,0,0,0,0,0,0,0,0,32768,1,374,0.8381
zebu_top.core_chip_dut.icore_sys.ialb_mss_dummy_slave,alb_mss_dummy_slave,40104,12394,54,0,97274,0,26288,0,0,2929,0,0,0,0,0,155,21,0,0,0,0,0,0,263,0.0000
zebu_top.core_chip_dut.icore_sys.ialb_mss_fab,alb_mss_fab,115334,47528,15,0,82426,0,0,0,378,76680,0,0,0,0,0,0,0,0,0,0,0,0,0,2822,0.7589
zebu_top.core_chip_dut.icore_sys.iarchipelago.iesrams_rl_srams,rl_srams,62505,1699,2,98,57700,0,0,0,0,777,0,0,0,0,0,0,0,0,0,0,0,0,0,620,0.0000
zebu_top.core_chip_dut.icore_sys.iarchipelago.icpu_top_safety_controller,cpu_top_safety_controller,65312,28204,3,0,17770,0,0,0,328,16272,0,0,0,0,0,0,0,0,0,0,0,0,0,1470,0.4132
zebu_top.core_chip_dut.icore_sys.izebu_axi_xtor.master_node_i,xtor_amba_master_axi3_svs,24429,6900,25,0,30808,0,5736,0,0,5395,0,0,0,0,0,45,24,0,0,0,0,0,0,1231,0.7562
zebu_top.core_chip_dut.icore_sys.ialb_mss_mem.u_rgon0_mem_inst,alb_mss_mem_model,78,61,1,0,41,0,0,0,0,174,0,0,0,0,0,0,0,0,0,0,0,32768,1,331,0.1232
zebu_top.core_chip_dut.icore_sys.ialb_mss_dummy_slave.i2_axi_slave,axi_dummy_slave,40104,12394,54,0,97274,0,26288,0,0,2929,0,0,0,0,0,155,21,0,0,0,0,0,0,263,0.0222
zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst,alb_mss_bus_switch,98992,39780,12,0,69634,0,0,0,0,65078,0,0,0,0,0,0,0,0,0,0,0,0,0,2762,0.4764
zebu_top.core_chip_dut.icore_sys.iarchipelago.iesrams_rl_srams.u_dccm_odd,dccm_ram,20273,532,1,32,18578,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0.0822
zebu_top.core_chip_dut.icore_sys.iarchipelago.iesrams_rl_srams.u_dccm_even,dccm_ram,20273,532,1,32,18578,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0.0822
zebu_top.core_chip_dut.icore_sys.iarchipelago.iesrams_rl_srams.u_iccm0_even,iccm0_ram,20273,532,1,32,18578,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0.0822
zebu_top.core_chip_dut.icore_sys.iarchipelago.icpu_top_safety_controller.u_shadow_rl_cpu_top,rl_cpu_top,31763,13838,2,0,8609,0,0,0,0,7984,0,0,0,0,0,0,0,0,0,0,0,0,0,1237,0.4153
zebu_top.core_chip_dut.icore_sys.iarchipelago.icpu_top_safety_controller.u_main_rl_cpu_top,rl_cpu_top,32202,13917,2,0,8976,0,0,0,325,8127,0,0,0,0,0,0,0,0,0,0,0,0,0,1551,0.3527
zebu_top.core_chip_dut.icore_sys.ialb_mss_mem.u_rgon0_mem_inst.u_alb_mss_mem_ram,alb_mss_fpga_sram_0000,56,56,1,0,39,0,0,0,0,157,0,0,0,0,0,0,0,0,0,0,0,32768,1,330,0.0894
zebu_top.core_chip_dut.icore_sys.ialb_mss_dummy_slave.i2_axi_slave.slave_xtor,xtor_amba_slave_axi3_svs,40103,12393,54,0,97272,0,26288,0,0,2928,0,0,0,0,0,155,21,0,0,0,0,0,0,265,0.7960
zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst.u_mss_bs_mst_7,mss_bus_switch_ibp_dw128_mst,17134,5740,3,0,12034,0,0,0,0,11246,0,0,0,0,0,0,0,0,0,0,0,0,0,1863,0.4995
zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst.u_mss_bs_mst_6,mss_bus_switch_ibp_dw32_mst,8764,4018,2,0,6354,0,0,0,0,5938,0,0,0,0,0,0,0,0,0,0,0,0,0,1473,0.4374
zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst.u_mss_bs_mst_5,mss_bus_switch_ibp_dw64_mst,15661,5431,2,0,11330,0,0,0,0,10588,0,0,0,0,0,0,0,0,0,0,0,0,0,1708,0.4858
zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst.u_mss_bs_mst_3,mss_bus_switch_ibp_dw32_mst,8761,4018,2,0,6354,0,0,0,0,5938,0,0,0,0,0,0,0,0,0,0,0,0,0,1469,0.4376
zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst.u_mss_bs_mst_2,mss_bus_switch_ibp_dw32_mst,8807,4031,2,0,6370,0,0,0,0,5953,0,0,0,0,0,0,0,0,0,0,0,0,0,1533,0.4316
zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst.u_mss_bs_mst_1,mss_bus_switch_ibp_dw32_mst,8807,4031,2,0,6370,0,0,0,0,5953,0,0,0,0,0,0,0,0,0,0,0,0,0,1533,0.4316
zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst.u_mss_bs_mst_0,mss_bus_switch_ibp_dw32_mst,8807,4031,2,0,6370,0,0,0,0,5953,0,0,0,0,0,0,0,0,0,0,0,0,0,1533,0.4316
zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst.u_mss_bs_slv_3,mss_bus_switch_dw512_slv,5528,1627,1,0,1980,0,0,0,0,1850,0,0,0,0,0,0,0,0,0,0,0,0,0,4229,0.2797
zebu_top.core_chip_dut.icore_sys.iarchipelago.iesrams_rl_srams.u_dccm_odd.u_DCCM_sram,fpga_sram_0002_0000,20267,532,1,32,18578,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0.5794
zebu_top.core_chip_dut.icore_sys.iarchipelago.iesrams_rl_srams.u_dccm_even.u_DCCM_sram,fpga_sram_0002_0000,20267,532,1,32,18578,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0.5794
zebu_top.core_chip_dut.icore_sys.iarchipelago.iesrams_rl_srams.u_iccm0_even.u_iccm0_sram,fpga_sram_0002,20267,532,1,32,18578,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0.5794
