Nb_FPGA,Module,LUT,LUT%,LUT6,LUT6%,RAM,RAM%,URAM,URAM%,REG,REG%,RAMLUT,RAMLUT%,FWC_IP_BITS,FWC_IP_BITS%,QIWC_IP_BITS,QIWC_IP_BITS%,ZCEI_MESSAGE_INPUT,ZCEI_MESSAGE_INPUT%,ZCEI_MESSAGE_OUTPUT,ZCEI_MESSAGE_OUTPUT%,ZRM_SLOTS,ZRM_SLOTS%,ZRM_PORTS,ZRM_PORTS%,IOs,Path
1,zebu_top,381453,10%,109130, 3%,105, 5%,98,31%,354365, 5%,46176, 8%,834, 1%,116860,12%,237,47%,78,16%,32768,25%,1,13%,0,zebu_top
1,core_chip,327667, 9%,105285, 3%,104, 5%,98,31%,297773, 4%,32024, 5%,829, 1%,113205,11%,200,40%,45, 9%,32768,25%,1,13%,51,zebu_top.core_chip_dut
1,core_sys,327665, 9%,105285, 3%,104, 5%,98,31%,297770, 4%,32024, 5%,828, 1%,113204,11%,200,40%,45, 9%,32768,25%,1,13%,53,zebu_top.core_chip_dut.icore_sys
1,alb_mss_fab,115334, 3%,47528, 2%,15, 1%,0, 0%,82426, 2%,0, 0%,378, 1%,76680, 8%,0, 0%,0, 0%,0, 0%,0, 0%,2822,zebu_top.core_chip_dut.icore_sys.ialb_mss_fab
1,alb_mss_bus_switch,98992, 3%,39780, 1%,12, 1%,0, 0%,69634, 1%,0, 0%,0, 0%,65078, 7%,0, 0%,0, 0%,0, 0%,0, 0%,2762,zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst
1,archipelago,131177, 4%,31076, 1%,5, 1%,98,31%,77534, 1%,0, 0%,448, 1%,18863, 2%,0, 0%,0, 0%,0, 0%,0, 0%,788,zebu_top.core_chip_dut.icore_sys.iarchipelago
1,axi_dummy_slave,40104, 1%,12394, 1%,54, 3%,0, 0%,97274, 2%,26288, 5%,0, 0%,2929, 1%,155,31%,21, 5%,0, 0%,0, 0%,263,zebu_top.core_chip_dut.icore_sys.ialb_mss_dummy_slave.i2_axi_slave
1,alb_mss_dummy_slave,40104, 1%,12394, 1%,54, 3%,0, 0%,97274, 2%,26288, 5%,0, 0%,2929, 1%,155,31%,21, 5%,0, 0%,0, 0%,263,zebu_top.core_chip_dut.icore_sys.ialb_mss_dummy_slave
1,xtor_amba_slave_axi3_svs,40103, 1%,12393, 1%,54, 3%,0, 0%,97272, 2%,26288, 5%,0, 0%,2928, 1%,155,31%,21, 5%,0, 0%,0, 0%,265,zebu_top.core_chip_dut.icore_sys.ialb_mss_dummy_slave.i2_axi_slave.slave_xtor
1,zz_Encrypt_5,27621, 1%,10803, 1%,50, 3%,0, 0%,82161, 2%,23808, 4%,0, 0%,187, 1%,128,25%,0, 0%,0, 0%,0, 0%,208,zebu_top.core_chip_dut.icore_sys.ialb_mss_dummy_slave.i2_axi_slave.slave_xtor.sqnod12755
