+----------------------------------------------------------------------------------------------------------------------------+----+----------------------+----------------+----------------+---------------------------------------------------+
|                                                                                                                        Name|Type|DriverClock Constraint|          Delays|      Properties|                                      Delay Factors|
+----------------------------------------------------------------------------------------------------------------------------+----+----------------------+----------------+----------------+---------------------------------------------------+
|                        U0_M0_F1.U0_M0_F1_core.core_chip_dut.icore_sys.ialb_mss_mem.u_rgon0_mem_inst.u_alb_mss_mem_ram.mem_r|DDR4|                 82 ns|sync port: 164ns|Port:1 Width:128|ports factor: 1  driverClock constraint factor: 1  |
|              U0_M0_F1.U0_M0_F1_core.core_chip_dut.icore_sys.iarchipelago.iesrams_rl_srams.u_ic_data_ram.u_ic_data_ram.mem_r|URAM|                  NONE|async port: 80ns| Port:2 Width:80|                                  ports factor: 1  |
|                U0_M0_F1.U0_M0_F1_core.core_chip_dut.icore_sys.iarchipelago.iesrams_rl_srams.u_ic_tag_ram.u_ic_tag_ram.mem_r|BRAM|                  NONE|async port: 80ns| Port:2 Width:56|                                  ports factor: 1  |
|            U0_M0_F1.U0_M0_F1_core.core_chip_dut.icore_sys.ialb_mss_dummy_slave.i2_axi_slave.slave_xtor.sqnod12754.sqnod6249|BRAM|                  NONE| sync port: 71ns|Port:2 Width:116|                                  ports factor: 1  |
|U0_M0_F1.U0_M0_F1_core.core_chip_dut.icore_sys.ialb_mss_dummy_slave.i2_axi_slave.slave_xtor.sqnod12755.sqnod1438.sqnod256809|BRAM|                  NONE| sync port: 71ns|Port:2 Width:181|                                  ports factor: 1  |
|U0_M0_F1.U0_M0_F1_core.core_chip_dut.icore_sys.ialb_mss_dummy_slave.i2_axi_slave.slave_xtor.sqnod12755.sqnod1439.sqnod256809|BRAM|                  NONE| sync port: 71ns|Port:2 Width:181|                                  ports factor: 1  |
|U0_M0_F1.U0_M0_F1_core.core_chip_dut.icore_sys.ialb_mss_dummy_slave.i2_axi_slave.slave_xtor.sqnod12755.sqnod1440.sqnod256809|BRAM|                  NONE| sync port: 71ns|Port:2 Width:181|                                  ports factor: 1  |
|U0_M0_F1.U0_M0_F1_core.core_chip_dut.icore_sys.ialb_mss_dummy_slave.i2_axi_slave.slave_xtor.sqnod12755.sqnod1441.sqnod256809|BRAM|                  NONE| sync port: 71ns|Port:2 Width:181|                                  ports factor: 1  |
|U0_M0_F1.U0_M0_F1_core.core_chip_dut.icore_sys.ialb_mss_dummy_slave.i2_axi_slave.slave_xtor.sqnod12755.sqnod1442.sqnod256809|BRAM|                  NONE| sync port: 71ns|Port:2 Width:181|                                  ports factor: 1  |
|U0_M0_F1.U0_M0_F1_core.core_chip_dut.icore_sys.ialb_mss_dummy_slave.i2_axi_slave.slave_xtor.sqnod12755.sqnod1443.sqnod256809|BRAM|                  NONE| sync port: 71ns|Port:2 Width:181|                                  ports factor: 1  |
|U0_M0_F1.U0_M0_F1_core.core_chip_dut.icore_sys.ialb_mss_dummy_slave.i2_axi_slave.slave_xtor.sqnod12755.sqnod1444.sqnod256809|BRAM|                  NONE| sync port: 71ns|Port:2 Width:181|                                  ports factor: 1  |
|U0_M0_F1.U0_M0_F1_core.core_chip_dut.icore_sys.ialb_mss_dummy_slave.i2_axi_slave.slave_xtor.sqnod12755.sqnod1445.sqnod256809|BRAM|                  NONE| sync port: 71ns|Port:2 Width:181|                                  ports factor: 1  |
|            U0_M0_F1.U0_M0_F1_core.core_chip_dut.icore_sys.ialb_mss_dummy_slave.i2_axi_slave.slave_xtor.sqnod12755.sqnod1465|BRAM|                  NONE| sync port: 71ns| Port:2 Width:16|                                  ports factor: 1  |
|                  U0_M0_F1.U0_M0_F1_core.core_chip_dut.icore_sys.iarchipelago.iesrams_rl_srams.u_dccm_even.u_DCCM_sram.mem_r|URAM|                  NONE|async port: 71ns| Port:3 Width:40|                                  ports factor: 1  |
|                   U0_M0_F1.U0_M0_F1_core.core_chip_dut.icore_sys.iarchipelago.iesrams_rl_srams.u_dccm_odd.u_DCCM_sram.mem_r|URAM|                  NONE|async port: 71ns| Port:3 Width:40|                                  ports factor: 1  |
|                U0_M0_F1.U0_M0_F1_core.core_chip_dut.icore_sys.iarchipelago.iesrams_rl_srams.u_iccm0_even.u_iccm0_sram.mem_r|URAM|                  NONE|async port: 71ns| Port:3 Width:40|                                  ports factor: 1  |
|                            U0_M0_F1.U0_M0_F1_core.core_chip_dut.icore_sys.izebu_axi_xtor.master_node_i.sqnod21800.sqnod2985|BRAM|                  NONE| sync port: 71ns| Port:2 Width:86|                                  ports factor: 1  |
|                            U0_M0_F1.U0_M0_F1_core.core_chip_dut.icore_sys.izebu_axi_xtor.master_node_i.sqnod21801.sqnod2985|BRAM|                  NONE| sync port: 71ns| Port:2 Width:86|                                  ports factor: 1  |
|                U0_M0_F1.U0_M0_F1_core.core_chip_dut.icore_sys.izebu_axi_xtor.master_node_i.sqnod21802.sqnod1818.sqnod845601|BRAM|                  NONE| sync port: 71ns|Port:2 Width:613|                                  ports factor: 1  |
|                       U0_M0_F1.U0_M0_F1_core.core_chip_dut.icore_sys.ialb_mss_mem.u_rgon0_lat_inst.u_mem_bus_lat.i_bdel_mem|BRAM|                  NONE|async port: 40ns|  Port:2 Width:2|                                  ports factor: 1  |
|                       U0_M0_F1.U0_M0_F1_core.core_chip_dut.icore_sys.ialb_mss_mem.u_rgon0_lat_inst.u_mem_bus_lat.i_rdel_mem|BRAM|                  NONE|async port: 40ns|Port:2 Width:131|                                  ports factor: 1  |
+----------------------------------------------------------------------------------------------------------------------------+----+----------------------+----------------+----------------+---------------------------------------------------+

